oplus_security_guard.ko — kill-path jump table @ .rodata+0 (72 entries, syscall 143..214)
base: adr x11,#0x47c ; target = 0x47c + int32(table[idx])
0x48c = RETURN (no kill)   0x4a0 = report + do_exit(SIGKILL)

nr    syscall          target     verdict
143   setgid           0x48c      EXEMPT (no kill)
144   setreuid         0x48c      EXEMPT (no kill)
145   setuid           0x48c      EXEMPT (no kill)
146   setresuid        0x48c      EXEMPT (no kill)
147   getresuid        0x48c      EXEMPT (no kill)
148   setresgid        0x4a0      report+kill
149   getresgid        0x48c      EXEMPT (no kill)
150   setfsuid         0x4a0      report+kill
151   setfsgid         0x4a0      report+kill
152   times            0x4a0      report+kill
153   setpgid          0x4a0      report+kill
154   getpgid          0x4a0      report+kill
155   getsid           0x4a0      report+kill
156   setsid           0x4a0      report+kill
157   getgroups        0x4a0      report+kill
158   setgroups        0x4a0      report+kill
159   uname            0x4a0      report+kill
160   sethostname      0x4a0      report+kill
161   setdomainname    0x4a0      report+kill
162   getrlimit        0x4a0      report+kill
163   setrlimit        0x4a0      report+kill
164   getrusage        0x4a0      report+kill
165   umask            0x4a0      report+kill
166   prctl            0x4a0      report+kill
167   getcpu           0x4a0      report+kill
168   gettimeofday     0x4a0      report+kill
169   settimeofday     0x4a0      report+kill
170   adjtimex         0x4a0      report+kill
171   getpid           0x4a0      report+kill
172   getppid          0x4a0      report+kill
173   getuid           0x4a0      report+kill
174   geteuid          0x4a0      report+kill
175   getgid           0x4a0      report+kill
176   getegid          0x4a0      report+kill
177   gettid           0x4a0      report+kill
178   sysinfo          0x4a0      report+kill
179   mq_open          0x4a0      report+kill
180   mq_unlink        0x4a0      report+kill
181   mq_timedsend     0x4a0      report+kill
182   mq_timedreceive  0x4a0      report+kill
183   mq_notify        0x4a0      report+kill
184   mq_getsetattr    0x4a0      report+kill
185   msgget           0x4a0      report+kill
186   msgctl           0x4a0      report+kill
187   msgrcv           0x4a0      report+kill
188   msgsnd           0x4a0      report+kill
189   semget           0x4a0      report+kill
190   semctl           0x4a0      report+kill
191   semtimedop       0x4a0      report+kill
192   semop            0x4a0      report+kill
193   shmget           0x4a0      report+kill
194   shmctl           0x4a0      report+kill
195   shmat            0x4a0      report+kill
196   shmdt            0x4a0      report+kill
197   socket           0x4a0      report+kill
198   socketpair       0x4a0      report+kill
199   bind             0x4a0      report+kill
200   listen           0x4a0      report+kill
201   accept           0x4a0      report+kill
202   connect          0x4a0      report+kill
203   getsockname      0x48c      EXEMPT (no kill)
204   getpeername      0x48c      EXEMPT (no kill)
205   sendto           0x4a0      report+kill
206   recvfrom         0x4a0      report+kill
207   setsockopt       0x4a0      report+kill
208   getsockopt       0x48c      EXEMPT (no kill)
209   shutdown         0x4a0      report+kill
210   sendmsg          0x48c      EXEMPT (no kill)
211   recvmsg          0x4a0      report+kill
212   readahead        0x4a0      report+kill
213   brk              0x48c      EXEMPT (no kill)
214   munmap           0x48c      EXEMPT (no kill)
