# .text relocations, oplus_security_guard.ko
# relocations for .text: 214 entries
# offset     type                   target
  0x4c       ADR_PREL_PG_HI21       .text+0xfc0
  0x50       ADD_ABS_LO12_NC        .text+0xfc0
  0x98       ADR_PREL_PG_HI21       .text+0xfb0
  0x9c       ADD_ABS_LO12_NC        .text+0xfb0
  0xa4       ADR_PREL_PG_HI21       .text+0xfb8
  0xa8       ADD_ABS_LO12_NC        .text+0xfb8
  0xb0       ADR_PREL_PG_HI21       .text+0xfa8
  0xb4       ADD_ABS_LO12_NC        .text+0xfa8
  0xd0       CALL26                 __cfi_check_fail
  0x128      ADR_PREL_PG_HI21       .data+0x10
  0x12c      ADD_ABS_LO12_NC        .data+0x10
  0x13c      ADR_PREL_PG_HI21       .data+0x40
  0x140      ADD_ABS_LO12_NC        .data+0x40
  0x174      ADR_PREL_PG_HI21       __stack_chk_guard
  0x178      LDST64_ABS_LO12_NC     __stack_chk_guard
  0x19c      CALL26                 memset
  0x1c4      CALL26                 __get_task_comm
  0x1d8      ADR_PREL_PG_HI21       .rodata+0xb0f
  0x1e0      ADD_ABS_LO12_NC        .rodata+0xb0f
  0x1ec      ADR_PREL_PG_HI21       .rodata+0xad0
  0x1f0      ADD_ABS_LO12_NC        .rodata+0xad0
  0x1fc      ADR_PREL_PG_HI21       kmalloc_caches+0x40
  0x200      LDST64_ABS_LO12_NC     kmalloc_caches+0x40
  0x228      CALL26                 kmem_cache_alloc_trace
  0x230      ADR_PREL_PG_HI21       __stack_chk_guard
  0x238      LDST64_ABS_LO12_NC     __stack_chk_guard
  0x2d0      CALL26                 __get_task_comm
  0x2d8      ADR_PREL_PG_HI21       .rodata+0x53f
  0x2e8      ADD_ABS_LO12_NC        .rodata+0x53f
  0x31c      CALL26                 snprintf
  0x324      ADR_PREL_PG_HI21       .rodata+0x66f
  0x328      ADD_ABS_LO12_NC        .rodata+0x66f
  0x334      CALL26                 printk
  0x344      CALL26                 strlen
  0x354      CALL26                 memcpy
  0x35c      CALL26                 kevent_send_to_user
  0x368      CALL26                 kfree
  0x370      ADR_PREL_PG_HI21       .rodata+0x9c4
  0x374      ADD_ABS_LO12_NC        .rodata+0x9c4
  0x378      CALL26                 printk
  0x380      CALL26                 __stack_chk_fail
  0x398      ADR_PREL_PG_HI21       .rodata+0x976
  0x39c      ADD_ABS_LO12_NC        .rodata+0x976
  0x3a0      CALL26                 printk
  0x3a8      CALL26                 do_exit
  0x404      ADR_PREL_PG_HI21       .data..ro_after_init
  0x408      LDST8_ABS_LO12_NC      .data..ro_after_init
  0x474      ADR_PREL_PG_HI21       .rodata
